"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"A1","1","Arduino_Nano_ESP32","","","","","${EXCLUDE_FROM_POS_FILES}","Module:Arduino_Nano","https://docs.arduino.cc/resources/datasheets/ABX00083-datasheet.pdf"
"BT2","1","1S LiPo","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"C2,C23","2","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C5,C6","3","220pF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7,C22,C31","3","0.1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C8,C30","2","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C24","1","47nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C25","1","4.7nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C26","1","47pF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C27,C28,C29","3","22uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D1","1","LED red","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"FB1,FB2","2","FerriteBead","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",""
"J1","1","Conn_01x02","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",""
"L2","1","1.2uH","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_Coilcraft_XAL5030-XXX",""
"MK1","1","ICS-43434","","","","","${EXCLUDE_FROM_POS_FILES}","Sensor_Audio:InvenSense_ICS-43434-6_3.5x2.65mm","https://www.invensense.com/wp-content/uploads/2016/02/DS-000069-ICS-43434-v1.2.pdf"
"R1","1","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2,R24","2","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3","1","68","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4","1","1M","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R20,R21","2","200k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R22","1","178k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R23","1","56k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"RV1","1","A50K","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical",""
"SW1","1","SW_Push_45deg","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_PUSH_6mm",""
"SW2","1","POWER","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q",""
"U1","1","MAX98357A","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm_ThermalVias","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf"
"U2","1","TPS61088","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DFN_QFN:Texas_VQFN-RHL-20_ThermalVias",""
